Neighborhood,life_expectancy,population,unemployed_avg,accidents_count,stops_count,Latitude,Longitude,no2_avg,rail_count,acc_rate,stops_rate,unemp_rate,rail_rate
Vallcarca i els Penitents,83.6,15759,3948.0833333333335,150,71,41.415443633802816,2.1418053380281687,30.81293952180028,6.0,9.518370454978108,4.5053620153563045,25.052879835860992,0.3807348181991243
"Vallvidrera, el Tibidabo i les Planes",80.6,4670,546.8333333333334,26,118,41.42112787288136,2.0984449915254237,27.97432239657632,2.0,5.56745182012848,25.26766595289079,11.709493219129193,0.4282655246252676
Verdun,83.35,12353,4773.666666666667,24,13,41.44220023076923,2.1758526923076924,30.81293952180028,,1.942847891200518,1.0523759410669473,38.64378423594809,
Vilapicina i la Torre Llobeta,83.4,25591,8386.583333333334,88,25,41.42805536,2.1748688,30.81293952180028,8.0,3.438708921105076,0.9769059434957602,32.77161241582328,0.3126099019186433
el Baix Guinardó,83.9,25672,6485.583333333333,111,25,41.411665320000004,2.1674838800000003,44.57453416149068,4.0,4.323776877531942,0.9738236210657526,25.263256985561437,0.1558117793705204
el Barri Gòtic,81.55000000000001,16062,5312.25,178,39,41.380346256410256,2.1781509487179487,39.85592011412268,3.0,11.082057029012576,2.428091146806126,33.07340306313037,0.1867762420620097
el Besòs i el Maresme,83.0,23009,9557.833333333334,76,42,41.41549114285714,2.2140334285714283,41.1611030478955,7.0,3.3030553261767133,1.825372680255552,41.53954249786316,0.304228780042592
el Bon Pastor,82.44999999999999,12560,4441.083333333333,129,52,41.43698636538461,2.203066769230769,41.1611030478955,2.0,10.270700636942674,4.140127388535031,35.35894373673036,0.1592356687898089
el Camp d'en Grassot i Gràcia Nova,84.4,34329,8410.666666666666,122,36,41.40615375,2.163767888888889,44.57453416149068,3.0,3.5538466019983104,1.0486760464913045,24.500179634322777,0.08738967054094207
el Camp de l'Arpa del Clot,84.7,38168,11775.5,172,19,41.412506578947365,2.183377894736842,41.1611030478955,8.0,4.506392789771536,0.4977992035212743,30.851760637182977,0.2095996646405366
el Carmel,83.75,31551,10894.75,92,73,41.42202424657534,2.1565999589041094,30.81293952180028,4.0,2.915913917150011,2.313714303825552,34.53060124877183,0.12677886596304397
el Clot,84.94999999999999,27039,8069.25,151,28,41.410652500000005,2.1898250714285714,41.1611030478955,4.0,5.584526054957654,1.0355412552239358,29.843004548984798,0.1479344650319908
el Coll,85.0,7412,1658.0,23,26,41.4184505,2.148807230769231,30.81293952180028,1.0,3.10307609282245,3.5078251484079868,22.36913113869401,0.13491635186184567
el Congrés i els Indians,84.6,14116,4064.4166666666665,38,15,41.424657,2.179651733333333,30.81293952180028,5.0,2.6919807310852937,1.0626239727968263,28.792977236233114,0.3542079909322754
el Fort Pienc,84.05000000000001,32016,7947.75,277,40,41.397214500000004,2.1815574250000003,39.85592011412268,7.0,8.65192403798101,1.2493753123438283,24.824306596701646,0.21864067966016992
el Guinardó,84.25,36467,10414.166666666666,113,71,41.41833836619718,2.1740755352112675,30.81293952180028,4.0,3.0986919680807303,1.9469657498560342,28.557782835623076,0.10968821125949488
el Parc i la Llacuna del Poblenou,83.05,15134,3905.6666666666665,184,47,41.39883214893617,2.189869255319149,39.85592011412268,10.0,12.158054711246201,3.105590062111801,25.807233161534732,0.6607638430025109
el Poblenou,83.3,33843,8798.916666666666,148,48,41.40067227083333,2.201225270833333,41.1611030478955,4.0,4.373134769376237,1.418313979257158,25.999221897191934,0.11819283160476317
el Putxet i el Farró,85.2,29470,6216.333333333333,134,54,41.40749309259259,2.1433625185185186,44.57453416149068,11.0,4.546996946046827,1.832371903630811,21.093767673340118,0.3732609433322022
el Raval,80.9,47608,20113.333333333332,150,42,41.37840954761905,2.1705706904761906,56.24068322981366,13.0,3.1507309695849437,0.8822046714837842,42.247801489945665,0.2730633506973618
el Turó de la Peira,85.55,15467,5208.25,24,20,41.43258745,2.17047115,30.81293952180028,4.0,1.5516906963212,1.2930755802676668,33.673304454645375,0.2586151160535333
l'Antiga Esquerra de l'Eixample,83.85,42284,9628.5,588,88,41.38900428409091,2.1548863977272728,56.24068322981366,8.0,13.905969160911928,2.081165452653486,22.771024500993285,0.1891968593321351
la Barceloneta,80.30000000000001,14996,6022.333333333333,138,48,41.380329958333334,2.1908083541666667,39.85592011412268,1.0,9.202453987730062,3.2008535609495867,40.1595981150529,0.06668444918644971
la Bordeta,83.6,18530,5286.666666666667,97,22,41.36810540909091,2.136270818181818,36.359165424739196,2.0,5.234754452239612,1.187263896384242,28.53031120705163,0.10793308148947653
la Clota,,610,104.83333333333333,24,5,41.428981199999996,2.154081,30.81293952180028,,39.34426229508197,8.196721311475411,17.185792349726775,
la Dreta de l'Eixample,82.6,44052,8599.583333333334,1167,137,41.39276264963504,2.1689560656934304,44.57453416149068,55.0,26.49141923181694,3.1099609552347225,19.52143678682769,1.2485244710796333
la Font d'en Fargues,83.3,9383,3197.5833333333335,42,31,41.424023999999996,2.1656810322580644,30.81293952180028,,4.4761803261217095,3.3038473835660236,34.07847525666987,
la Font de la Guatlla,81.55,10401,3658.0833333333335,46,7,41.369954285714286,2.1442837142857143,36.359165424739196,,4.422651668108835,0.6730122103643881,35.17049642662565,
